sample	sex	pop	source	super_pop	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA20355	U	ASW	1000G	AFR	18.346761952851008	1.02217702406186	-2.32589363961446	-0.8313267705646753	7.33254620478587	-10.924658694602382	2.475458126003851	11.234634866366552	-1.7765651120996941	9.319175933135302
NA20356	U	ASW	1000G	AFR	21.274502369702674	1.2867666481239692	-0.22082163784075826	-1.676312521928395	1.1426168912626402	-1.529557498107605	3.9568597429163805	-3.852933208675901	1.0832839806651124	6.415584154694125
NA20357	U	ASW	1000G	AFR	22.232895266600625	0.5968214991870786	-0.9073406035820141	-2.6001330044924775	4.163545157012701	-0.6044209902487011	8.099157789483236	-9.69927915007663	0.7653832541618124	-5.044113095351295
NA20359	U	ASW	1000G	AFR	15.466972232262917	1.2210717420962716	-0.24241729951926114	-5.544626865913068	-3.3475142147083674	11.88014538464061	17.623905256817856	-13.563071816940822	1.3318409694369333	15.145129189196702
NA20362	U	ASW	1000G	AFR	17.351074739790086	1.373266952740818	-1.171470233247665	-8.353928364401005	-3.390125334073647	11.650805614425673	14.359275678304368	-14.849104425941524	0.5797447473702871	15.544134620309714
NA20412	U	ASW	1000G	AFR	18.253616860128844	0.6713904811557072	1.1644035536967734	-0.48764526412412607	-1.1669556867971846	1.784578104515486	-2.74000445218109	0.8622578761768684	-1.6421850201392383	5.318871424914449
NA06984	U	CEU	1000G	EUR	-12.555537660749167	14.80758835704652	-3.205071711967963	-0.11746454622365086	1.9438556381395862	-1.3133608166906372	0.07715485643260397	0.11824573180101393	0.4370293705243626	0.7179591331985492
NA06985	U	CEU	1000G	EUR	-11.83722354043712	13.880330028287851	-3.4869119054255853	-0.7857558515976387	-1.4447579687477152	-0.3432105873832639	0.04223870606973102	0.06144225524900202	-0.7864499319329891	1.3546267316018246
NA06986	U	CEU	1000G	EUR	-13.779984896827365	16.036804723124582	-3.693461592281046	-0.7017936296058136	-0.08446250727698576	0.46634622461127406	-0.029069739282011522	0.23525898098893702	-0.8408787874287033	0.08740582016639958
NA06989	U	CEU	1000G	EUR	-12.709932509498248	14.217033366766604	-0.5541035906203801	-0.4522912645687281	0.9781980288163428	-0.38080335387864095	0.13418778424959601	-0.9988037649240423	1.715900276889426	0.730314790483138
NA06994	U	CEU	1000G	EUR	-12.481813650022717	15.441602849173794	-3.563915652351268	0.9705121879929602	2.4716123412653195	-1.2778985442687971	0.32801332359329505	-0.39252471913801507	-0.587295606932459	0.6254413525166754
NA07000	U	CEU	1000G	EUR	-12.529165397525489	13.906678745291519	-0.4424619320667825	-1.612697343133232	-3.0391437938386647	1.2571695401178404	1.013675242425317	-0.22739709878275838	1.5648558291105261	-1.2025359676278966
NA07037	U	CEU	1000G	EUR	-11.980625692599778	14.871478138327356	-2.7922671724720076	0.8492692518431264	4.5088460911101285	-0.4340585171897641	-0.5141541770864796	-1.2645352058292445	0.4784802061128313	-1.5427091866459235
NA07048	U	CEU	1000G	EUR	-11.218671758443993	15.6343159680759	-3.457031559279329	0.1518002413544106	1.8970480289921496	0.0036670118742215627	0.6788244625470324	-0.565970668365198	1.8810470509579817	0.6595547799309752
NA07051	U	CEU	1000G	EUR	-12.257321426380527	16.215315308128673	-2.30437047645572	-0.8515046263942886	3.5753961959948644	0.6940268341033428	-0.8908967868610064	-0.6637775356578657	-0.07714128114191919	1.0732973925219305
NA07056	U	CEU	1000G	EUR	-12.83151397753782	15.251306695539169	-2.1724668337757755	0.3565711917287166	-3.167984263074533	-0.7529969642195967	0.02176417138344647	-0.16046522851598888	1.6363988451135723	-0.9196291421657692
NA07347	U	CEU	1000G	EUR	-12.066497899482837	14.081093315694485	-1.5895676489615091	1.2755485737043242	2.4052123595668053	1.0141511074699887	-2.1378170609705474	0.18061480548815315	-1.086163172912667	-3.1151142537912184
NA07357	U	CEU	1000G	EUR	-13.113211453923562	15.675817409790218	-1.7955630436403867	0.8314086030800929	0.7472736520932698	-0.14756155177424835	0.2716743876737747	-1.2253338130742633	0.9561559520222983	-0.26310839690069204
NA10847	U	CEU	1000G	EUR	-11.520891277137922	14.226958078171855	-2.082809142643667	-1.1262329178470065	-0.07647506415725384	0.36359941989467526	0.11456005943132826	1.252858268348434	-1.434363887455315	-0.9972683288942294
NA10851	U	CEU	1000G	EUR	-12.629533999567645	14.60500091501232	-1.1001394995839364	-0.5594250259447067	-3.5782981601350414	-0.6740202825290773	0.7997654777517249	1.420005534780079	1.1546898058723667	-1.438707718962536
NA11829	U	CEU	1000G	EUR	-12.766584669476082	14.476943493687095	-0.29918842125072476	-0.5052032419463436	-2.825324447538044	-0.3062846479977244	2.250808101529753	-0.25883412948166984	0.4839548270474347	0.6043020573863299
NA11830	U	CEU	1000G	EUR	-12.253611309660513	13.925090094090928	-2.3808786824766233	0.5750518040241752	-0.6683882572383365	-1.6215483578690533	0.9964094601665416	0.36923147013432417	-1.2857062612452765	-0.42686826406066725
NA11831	U	CEU	1000G	EUR	-12.223505468808295	16.07428460322245	-1.4467387998575154	-0.6287926889938895	-0.42584612048798615	-0.2535391494450317	-0.8420204522378636	1.7733993130855692	-0.6673466679433256	-0.3926928955632173
NA11832	U	CEU	1000G	EUR	-13.942755614295251	15.313306881076613	-2.4140660003756875	1.0210282454356538	-4.253867697563351	-1.7413196284145482	-0.5282474751467502	1.1093241597426307	0.7197905101537602	0.4507711138945415
NA11840	U	CEU	1000G	EUR	-11.642745148751768	16.006864213882405	-0.9553042685700952	1.6323003230249824	3.15298208603175	-0.753651074374757	-0.6102446489220454	1.696658477592724	-0.5858233166794227	-1.4454951565748995
NA11843	U	CEU	1000G	EUR	-11.587281874091907	14.39255820156401	-2.6345435419740837	0.28383854780754697	-2.7182791690567494	-0.44463438419638335	-0.4789643214960751	-0.5743289970697025	0.47809697771087767	0.4799783900016575
NA11881	U	CEU	1000G	EUR	-11.807462674475541	13.930487179980654	-1.3908322578128325	-2.157758501460477	-4.097059162077344	-1.4068658688884557	1.4439970267431286	-1.87259368742472	-0.4746390641127505	-0.7510004657935684
NA11892	U	CEU	1000G	EUR	-11.41404838882744	15.688563367498627	-2.973924008369216	-1.1228373310379947	-3.901005390163893	-0.2778807457316732	0.824393154688803	-1.2276863211370537	-0.5787794465133399	-0.8831933946110239
NA11893	U	CEU	1000G	EUR	-11.526216088765958	14.395164737040396	-1.6577007651815645	0.05696874434933631	2.6116033361529736	-0.9991452398171555	-0.9454354136848104	-0.04493258331274621	0.8472791730149015	1.2237679572812261
NA11894	U	CEU	1000G	EUR	-12.503123759026309	13.47080712002026	-1.0290211040745876	0.2265541908661491	-3.6728585912023037	-2.3932880789503987	-0.09975246147355192	0.7916732978533996	1.151235077269438	0.2758836599391339
